epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,135.541,1.80163,2.21516,1.39131,0.53565,0.49409,0.49073,0.24447,1.73329,1.60213,1.39196,0.000332508,0.000332508,0.000332508
2,264.339,1.75089,1.62155,1.37024,0.57814,0.53797,0.55686,0.2914,1.68236,1.37923,1.36742,0.000599923,0.000599923,0.000599923
3,390.18,1.73164,1.45721,1.37558,0.60961,0.545,0.56612,0.28437,1.72012,1.42984,1.41643,0.000801338,0.000801338,0.000801338
4,512.929,1.70917,1.35555,1.3696,0.62275,0.59132,0.62179,0.32774,1.68822,1.27042,1.37697,0.000703,0.000703,0.000703
5,636.652,1.68028,1.25538,1.34851,0.67809,0.56456,0.62171,0.33867,1.68332,1.21619,1.37714,0.000604,0.000604,0.000604
6,760.744,1.65956,1.20557,1.34162,0.64829,0.63728,0.66671,0.37155,1.61659,1.15563,1.33849,0.000505,0.000505,0.000505
7,884.044,1.62811,1.15719,1.3263,0.66647,0.64159,0.68542,0.38198,1.59541,1.13149,1.32033,0.000406,0.000406,0.000406
8,1009.42,1.60858,1.11926,1.30983,0.69211,0.64846,0.69941,0.39486,1.58146,1.09146,1.31056,0.000307,0.000307,0.000307
9,1137.96,1.5896,1.08198,1.29864,0.70675,0.66359,0.71932,0.41054,1.57759,1.04088,1.29701,0.000208,0.000208,0.000208
10,1263.67,1.57197,1.06224,1.28922,0.68215,0.69049,0.72757,0.41604,1.56641,1.02714,1.29858,0.000109,0.000109,0.000109
